timestamp,rater,test,item_id,response,response2,elapsed_s,note,params
2026-07-28T22:00:17,rater_31a9,melody,v0__boc__texture,neutral,no,94.76,all i can hear is f0 vibrating. can barely hear the melody,"{""style"": ""boc"", ""role"": ""texture"", ""level_db"": -16.0, ""articulated"": false, ""own_voice"": false, ""octave"": -1, ""root_hz"": 141.9, ""valence"": -0.5, ""arousal"": -0.3, ""has_melody"": true}"
2026-07-28T22:01:02,rater_31a9,melody,v1__boc__lead,neutral,no,44.62,subbase too loud and not ambient enough to have a melody on top,"{""style"": ""boc"", ""role"": ""lead"", ""level_db"": 0.0, ""articulated"": true, ""own_voice"": true, ""octave"": 0, ""root_hz"": 156.5, ""valence"": -0.5, ""arousal"": 0.3, ""has_melody"": true}"
2026-07-28T22:02:05,rater_31a9,melody,v0__chant__lead,neutral,maybe,62.72,base is too loud again and vibraty. the overtone is good,"{""style"": ""chant"", ""role"": ""lead"", ""level_db"": 0.0, ""articulated"": true, ""own_voice"": true, ""octave"": 0, ""root_hz"": 283.9, ""valence"": -0.5, ""arousal"": -0.3, ""has_melody"": true}"
2026-07-28T22:03:00,rater_31a9,melody,v1__chant__lead,positive,maybe,54.85,base is too loud and too tonal for the melody to shine. the melody itself is good,"{""style"": ""chant"", ""role"": ""lead"", ""level_db"": 0.0, ""articulated"": true, ""own_voice"": true, ""octave"": 0, ""root_hz"": 156.5, ""valence"": -0.5, ""arousal"": 0.3, ""has_melody"": true}"
2026-07-28T22:04:24,rater_31a9,melody,v0__none,neutral,no,83.94,"wobbly base. cannot hear the melody. maybe is there and adds texture to the bass, but the wobbliness kilss it for me","{""style"": ""none"", ""level_db"": null, ""valence"": -0.5, ""arousal"": -0.3, ""has_melody"": false}"
2026-07-28T22:05:07,rater_31a9,melody,v0__chant__texture,negative,yes,43.4,"again, i can barely hear the melody. nut this combo is actually quite a good texture","{""style"": ""chant"", ""role"": ""texture"", ""level_db"": -16.0, ""articulated"": false, ""own_voice"": false, ""octave"": -1, ""root_hz"": 141.9, ""valence"": -0.5, ""arousal"": -0.3, ""has_melody"": true}"
2026-07-28T22:06:52,rater_31a9,melody,v0__kbd__lead,negative,yes,104.84,"bass too loud at the start, then things got evened out at around 5s. Otherwise it's quite nice","{""style"": ""kbd"", ""role"": ""lead"", ""level_db"": 0.0, ""articulated"": true, ""own_voice"": true, ""octave"": 0, ""root_hz"": 283.9, ""valence"": -0.5, ""arousal"": -0.3, ""has_melody"": true}"
2026-07-28T22:07:38,rater_31a9,melody,v0__folk__lead,neutral,yes,46.13,base too loud to start again. otherwise the rest is quite good,"{""style"": ""folk"", ""role"": ""lead"", ""level_db"": 0.0, ""articulated"": true, ""own_voice"": true, ""octave"": 0, ""root_hz"": 283.9, ""valence"": -0.5, ""arousal"": -0.3, ""has_melody"": true}"
2026-07-28T22:08:20,rater_31a9,melody,v1__kbd__lead,neutral,no,42.39,"base too high in pitch and therefore too loud, melody is probably good but fighting for attention","{""style"": ""kbd"", ""role"": ""lead"", ""level_db"": 0.0, ""articulated"": true, ""own_voice"": true, ""octave"": 0, ""root_hz"": 156.5, ""valence"": -0.5, ""arousal"": 0.3, ""has_melody"": true}"
2026-07-28T22:09:14,rater_31a9,melody,v1__chant__texture,negative,yes,53.56,base too loud. can barely hear melody. again melody is only adding texture,"{""style"": ""chant"", ""role"": ""texture"", ""level_db"": -16.0, ""articulated"": false, ""own_voice"": false, ""octave"": -1, ""root_hz"": 78.3, ""valence"": -0.5, ""arousal"": 0.3, ""has_melody"": true}"
