timestamp,rater,test,item_id,response,response2,elapsed_s,note,params
2026-08-01T19:07:08,rater_22cd,reverb_clips,vtrans_028__long_bright,positive,yes,12.15,,"{""clip_id"": ""vtrans_028"", ""reverb"": ""long_bright""}"
2026-08-01T19:07:34,rater_22cd,reverb_clips,vtrans_002__long_bright,neutral,yes,25.59,,"{""clip_id"": ""vtrans_002"", ""reverb"": ""long_bright""}"
2026-08-01T19:07:49,rater_22cd,reverb_clips,vtrans_002__dry,neutral,yes,15.54,,"{""clip_id"": ""vtrans_002"", ""reverb"": ""dry""}"
2026-08-01T19:09:29,rater_22cd,reverb_clips,vtrans_028__brutalism,neutral,yes,99.97,between 5-6s sounded a bit out of tune,"{""clip_id"": ""vtrans_028"", ""reverb"": ""brutalism""}"
2026-08-01T19:10:01,rater_22cd,reverb_clips,vtrans_028__stairwell,positive,yes,31.91,5-6s a bit out of tune again,"{""clip_id"": ""vtrans_028"", ""reverb"": ""stairwell""}"
2026-08-01T19:10:14,rater_22cd,reverb_clips,vwander_020__stairwell,neutral,yes,12.91,,"{""clip_id"": ""vwander_020"", ""reverb"": ""stairwell""}"
2026-08-01T19:10:30,rater_22cd,reverb_clips,vtrans_013__brutalism,positive,yes,16.16,,"{""clip_id"": ""vtrans_013"", ""reverb"": ""brutalism""}"
2026-08-01T19:10:48,rater_22cd,reverb_clips,vwander_020__brutalism,neutral,yes,18.22,,"{""clip_id"": ""vwander_020"", ""reverb"": ""brutalism""}"
2026-08-01T19:11:02,rater_22cd,reverb_clips,vwander_049__long_dark,neutral,yes,13.59,,"{""clip_id"": ""vwander_049"", ""reverb"": ""long_dark""}"
2026-08-01T19:11:18,rater_22cd,reverb_clips,vtrans_028__nature,positive,yes,15.79,,"{""clip_id"": ""vtrans_028"", ""reverb"": ""nature""}"
2026-08-01T19:12:01,rater_22cd,reverb_clips,vtrans_028__dry,positive,yes,43.39,,"{""clip_id"": ""vtrans_028"", ""reverb"": ""dry""}"
2026-08-01T19:12:11,rater_22cd,reverb_clips,vwander_020__dry,neutral,yes,10.06,,"{""clip_id"": ""vwander_020"", ""reverb"": ""dry""}"
2026-08-01T19:12:24,rater_22cd,reverb_clips,vtrans_013__long_bright,positive,yes,13.07,,"{""clip_id"": ""vtrans_013"", ""reverb"": ""long_bright""}"
2026-08-01T19:12:41,rater_22cd,reverb_clips,vwander_049__long_bright,positive,yes,16.23,,"{""clip_id"": ""vwander_049"", ""reverb"": ""long_bright""}"
2026-08-01T19:12:51,rater_22cd,reverb_clips,vwander_049__stairwell,positive,yes,10.04,,"{""clip_id"": ""vwander_049"", ""reverb"": ""stairwell""}"
2026-08-01T19:13:01,rater_22cd,reverb_clips,vwander_049__dry,positive,yes,10.17,,"{""clip_id"": ""vwander_049"", ""reverb"": ""dry""}"
2026-08-01T19:13:27,rater_22cd,reverb_clips,vtrans_002__long_dark,neutral,yes,25.9,the reverb dragged on for a bit too long i think,"{""clip_id"": ""vtrans_002"", ""reverb"": ""long_dark""}"
2026-08-01T19:13:44,rater_22cd,reverb_clips,vwander_020__nature,neutral,yes,17.13,,"{""clip_id"": ""vwander_020"", ""reverb"": ""nature""}"
2026-08-01T19:13:55,rater_22cd,reverb_clips,vwander_049__brutalism,neutral,yes,11.54,,"{""clip_id"": ""vwander_049"", ""reverb"": ""brutalism""}"
2026-08-01T19:14:08,rater_22cd,reverb_clips,vtrans_019__long_bright,neutral,yes,12.67,,"{""clip_id"": ""vtrans_019"", ""reverb"": ""long_bright""}"
2026-08-01T19:14:21,rater_22cd,reverb_clips,vwander_020__long_dark,neutral,yes,12.5,,"{""clip_id"": ""vwander_020"", ""reverb"": ""long_dark""}"
2026-08-01T19:14:39,rater_22cd,reverb_clips,vtrans_019__dry,neutral,yes,18.77,,"{""clip_id"": ""vtrans_019"", ""reverb"": ""dry""}"
2026-08-01T19:14:50,rater_22cd,reverb_clips,vtrans_002__brutalism,neutral,yes,10.83,,"{""clip_id"": ""vtrans_002"", ""reverb"": ""brutalism""}"
2026-08-01T19:15:03,rater_22cd,reverb_clips,vtrans_019__nature,neutral,yes,12.75,,"{""clip_id"": ""vtrans_019"", ""reverb"": ""nature""}"
2026-08-01T19:15:19,rater_22cd,reverb_clips,vwander_049__nature,neutral,yes,16.42,,"{""clip_id"": ""vwander_049"", ""reverb"": ""nature""}"
2026-08-01T19:15:39,rater_22cd,reverb_clips,vtrans_028__long_dark,neutral,yes,19.3,,"{""clip_id"": ""vtrans_028"", ""reverb"": ""long_dark""}"
2026-08-01T19:15:54,rater_22cd,reverb_clips,vtrans_019__long_dark,neutral,yes,15.15,,"{""clip_id"": ""vtrans_019"", ""reverb"": ""long_dark""}"
2026-08-01T19:16:08,rater_22cd,reverb_clips,vtrans_013__nature,neutral,yes,14.15,,"{""clip_id"": ""vtrans_013"", ""reverb"": ""nature""}"
2026-08-01T19:16:20,rater_22cd,reverb_clips,vtrans_019__brutalism,neutral,yes,11.7,,"{""clip_id"": ""vtrans_019"", ""reverb"": ""brutalism""}"
